Date,Central,East,North,NorthEast,South,West,Total
01/01/2011,21,12,5,24,4,7,73
01/02/2011,9,6,7,22,11,4,59
01/03/2011,11,4,3,18,6,2,44
01/04/2011,7,0,6,16,3,4,36
01/05/2011,20,3,4,17,6,4,54
01/06/2011,12,3,3,16,7,4,45
01/07/2011,11,6,5,18,4,7,51
01/08/2011,13,6,1,13,4,1,38
01/09/2011,15,9,2,14,4,1,45
01/10/2011,12,6,4,9,10,0,41
01/11/2011,13,7,4,20,4,4,52
01/12/2011,8,3,2,6,3,1,23
01/13/2011,9,2,4,11,5,2,33
01/14/2011,8,4,1,13,2,1,29
01/15/2011,11,8,7,17,6,1,50
01/16/2011,10,10,5,10,7,2,44
01/17/2011,11,4,4,18,8,2,47
01/18/2011,8,8,6,14,7,1,44
01/19/2011,16,7,6,6,11,4,50
01/20/2011,14,0,4,10,3,2,33
01/21/2011,4,4,4,18,5,0,35
01/22/2011,13,6,6,11,8,2,46
01/23/2011,12,8,3,12,6,3,44
01/24/2011,8,4,4,10,4,0,30
01/25/2011,9,4,0,16,4,0,33
01/26/2011,12,5,6,12,8,0,43
01/27/2011,13,5,3,8,7,3,39
01/28/2011,19,6,2,10,5,3,45
01/29/2011,14,7,5,15,11,2,54
01/30/2011,12,10,19,14,5,1,61
01/31/2011,15,3,13,13,8,4,56
02/01/2011,10,7,6,17,8,1,49
02/02/2011,17,7,3,23,9,3,62
02/03/2011,13,5,10,19,7,2,56
02/04/2011,17,6,4,15,2,1,45
02/05/2011,11,3,12,19,11,1,57
02/06/2011,13,6,5,15,7,0,46
02/07/2011,9,6,4,5,6,2,32
02/08/2011,10,5,7,13,5,2,42
02/09/2011,6,8,4,19,6,5,48
02/10/2011,10,3,5,18,6,1,43
02/11/2011,6,4,6,7,5,0,28
02/12/2011,17,6,5,12,9,2,51
02/13/2011,20,7,6,20,9,0,62
02/14/2011,8,11,7,6,5,2,39
02/15/2011,10,7,7,10,10,5,49
02/16/2011,12,2,5,13,12,6,50
02/17/2011,6,6,4,11,6,6,39
02/18/2011,5,6,6,14,10,1,42
02/19/2011,18,6,4,11,1,7,47
02/20/2011,12,5,2,12,8,5,44
02/21/2011,11,6,13,10,14,4,58
02/22/2011,6,2,8,9,6,0,31
02/23/2011,7,9,7,10,12,0,45
02/24/2011,15,6,4,8,7,6,46
02/25/2011,11,2,3,11,7,2,36
02/26/2011,11,2,9,11,12,3,48
02/27/2011,13,5,5,9,6,2,40
02/28/2011,9,6,5,10,9,1,40
03/01/2011,19,5,10,14,9,1,58
03/02/2011,17,8,1,18,10,5,59
03/03/2011,15,2,1,5,6,3,32
